Date,Data Source,Model,Camera,Include Params,Epochs,Min Loss,Traininig Samples,Validation Samples,Time (s),Comments,
2017-01-12 12:15:56.575843,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.02, 20)",3,0.0058251707,11274,4833,276,failed after the big turn,
2017-01-12 12:36:50.606134,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.02, 15)",4,0.0060872061,14219,6094,473,failed after the big turn,
2017-01-12 17:52:24.902239,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",6,0.0052558401,15260,6541,774,failed after the big turn,
2017-01-12 18:07:34.616853,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",5,0.004811541,15264,6543,639,worked a cuts it close,
2017-01-12 18:37:55.453836,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",4,0.005558914,15243,6534,502,,
2017-01-13 12:58:57.364850,"[('drive_data_center_2', [('center', 0.0)]), ('drive_data_left_2', [('center', 0.3)]), ('drive_data_right_2', [('center', -0.3)])]",model5,,"(0.01, 15)",4,0.0057296844,6148,2635,216,worked best yet! Very smooth,
2017-01-13 13:11:31.957451,"[('drive_data_center_2', [('center', 0.0)]), ('drive_data_left_2', [('center', 0.3)]), ('drive_data_right_2', [('center', -0.3)])]",model4,,"(0.01, 15)",4,0.0064103369,6128,2627,194,worked best yet! Very smooth,it_worked_3.json
2017-01-14 11:25:10.428421,"[('drive_data_center_2', [('left', 0.1), ('center', 0.0), ('right', -0.1)]), ('drive_data_left_2', [('left', 0.35), ('center', 0.3), ('right', 0.2)]), ('drive_data_right_2', [('left', -0.35), ('center', -0.3), ('right', -0.2)])]",model4,,"(0.01, 15)",3,0.011026586,18318,7851,461,failed after the big turn,
2017-01-14 11:38:52.167706,"[('drive_data_center_2', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left_2', [('left', 0.15), ('center', 0.1), ('right', 0.05)]), ('drive_data_right_2', [('left', -0.05), ('center', -0.1), ('right', -0.15)])]",model4,,"(0.01, 15)",3,0.0051318613,18471,7917,459,failed on the big turn,
2017-01-14 11:57:26.652063,"[('drive_data_center_2', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left_2', [('left', 0.3), ('center', 0.25), ('right', 0.05)]), ('drive_data_right_2', [('left', -0.05), ('center', -0.25), ('right', -0.3)])]",model4,,"(0.01, 15)",6,0.0056416766,18391,7883,914,failed on the big turn,
2017-01-14 12:09:32.115499,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",3,0.0057108213,18303,7845,462,worked very well best yet,it_worked_4.json
2017-01-14 13:24:05.993628,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model7,,"(0.01, 15)",20,0.010660478,18312,7848,3080,"worked, but not great",
2017-01-14 16:39:10.904274,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model6,,"(0.01, 15)",8,0.0052668851,18293,7840,1420,worked pretty well,
2017-01-15 09:25:22.080202,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model7,,"(0.01, 15)",19,0.0101755807,18414,7893,2950,worked but not the best – hit lane lines a few times,
2017-01-15 12:36:59.534113,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",5,0.0047513474,18446,7906,774,worked until after the big curve,
2017-01-15 12:50:18.845571,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",3,0.0053623794,18425,7897,477,great!,final.json
2017-01-15 13:42:52.599402,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model6,,"(0.01, 15)",8,0.00718430385576,18349,7865,1.25e+03
